Date,BAC Return,C Return,GS Return,JPM Return,MS Return,WFC Return
2020-01-03,-0.02076312784630585,-0.0188354837555329,-0.011693433797878128,-0.01949110547436783,-0.016141432317639648,-0.006139568949854679
2020-01-06,-0.0014327521367222262,-0.003136762980836094,0.010234023225012656,-0.000795146835792071,-0.003515630908077494,-0.005990260310608675
2020-01-07,-0.006599700209660608,-0.008684642397924991,0.006582639730756457,-0.01700058538205096,-0.001960060523738094,-0.008286226729807167
2020-01-08,0.010109829567210404,0.007618060663371784,0.009639428259038185,0.007800982635435716,0.012765152184850637,0.0030383563971843053
2020-01-09,0.001715686488401591,0.009072595957228424,0.0203567114253973,0.0036512340520362674,0.009501680848680971,-0.001703902936536883
2020-01-10,-0.008278535853146196,-0.01036465799296249,-0.002019808247469612,-0.009967950326336461,0.0028812467772734163,-0.004361834709520562
2020-01-13,0.009211274593074359,0.01766563439594826,0.012804122488540681,0.008304472427424603,0.010917443110887604,-0.007428559802827417
2020-01-14,0.007415810363637698,0.015623088808326413,0.0018351492024029081,0.011661852325836497,0.0015157603809203835,-0.05392441643404655
2020-01-15,-0.01840321436849157,-0.008179779860634784,-0.0018317875988519416,-0.014985603640650269,0.0015133941625751213,-0.019878287168402786
2020-01-16,0.001442257121392121,-0.0029541835312696385,0.01839237544697192,0.0038765270228553472,0.06611258199455627,0.019246695179002682
2020-01-17,-0.0002880799504265674,0.0014815153899017108,-0.0010411441036561886,0.0069216535391052325,0.018958180738116948,-0.0014213136004918026
2020-01-21,-0.012964585848714627,-0.015039462270660886,-0.01507259546392048,-0.009840815053425045,-0.02764736913568222,-0.0048800666323204345
2020-01-22,0.0029189227588346522,0.0025030906686205334,0.005494530404084763,-0.001169275550945592,-0.0010729177496122677,-0.0077645538226596145
2020-01-23,-0.006984914848764401,-0.003745261274383238,-0.005950217375205402,-0.0010242859024768292,-0.005907658923181902,-0.007001650390703995
2020-01-24,-0.01699877006195971,-0.017293293609493166,-0.014903508570812907,-0.02482788601391217,-0.01764811027875801,-0.013479915168476353
2020-01-27,-0.020572523034333434,-0.02180565065544493,-0.015624995072367254,-0.00841152961717917,-0.026397775377614785,-0.009880202306460473
2020-01-28,0.01187224421495614,0.0069091224823669695,0.0186445051347357,0.01817764082915918,0.017134246600530867,0.005732493981120301
2020-01-29,-0.006919474889274468,-0.009839390572956241,-0.010141012017884532,-0.0014877405277000655,-0.006293967969395409,-0.002111008578760676
2020-01-30,0.014238147367506393,0.0124215076692471,0.01670002435102491,0.012366860723730166,0.0026080363050022815,0.013539229605472158
2020-01-31,-0.019414507767888223,-0.03900292691674623,-0.026133636813201355,-0.02597688420893296,-0.028985532927103264,-0.020246320680285312
2020-02-03,0.004264373494978324,0.009676032198278506,0.005299661437795811,0.007630662603343552,0.006505935007804942,0.0038346891870884026
2020-02-04,0.01971482217518039,0.018235096455027522,0.012258934780597697,0.014396027886619311,0.026996236213603808,0.0029711246354402476
2020-02-05,0.03242118343894851,0.03071893430223649,0.00975448700726167,0.017000540807873277,0.01795633492194315,0.022217585464437084
2020-02-06,-0.0011524320536567823,0.0015219118440619184,-0.010151435516002172,0.00014539045710715293,0.00036364143400713367,-0.006830921582981708
2020-02-07,-0.00173053249963806,-0.00354563473431313,-0.015796903517156458,-0.0031974597736695864,0.0003635785925091284,-0.0029178697579018698
2020-02-10,0.0023114133183081975,-0.0026686882444695303,-0.0026890730657497253,0.004155481022291019,0.0058150045779141735,-0.0014632043185817123
2020-02-11,0.002306192972665322,0.007772591168003995,-0.003791683072843388,0.001887574389917157,0.007768750081841969,0.004605426388840872
2020-02-12,0.0043139979639588155,0.003034587233241348,0.009261554260493687,0.0,0.007171056554905686,-0.004167550655227337
2020-02-13,-0.000286320792023842,-0.004159861634157935,-0.0012570199063104415,-0.0008695298346920177,-0.004449982175898426,0.00690516865527413
2020-02-14,-0.0017187445876045704,-0.002658216259147528,-0.005328316509081055,-0.0030461136790811416,-0.0016091570194316507,0.0020781855992955123
2020-02-18,-0.016642698472085105,-0.015357267044201817,-0.01632358312509752,-0.013240267971230568,-0.005730653544946063,-0.025508077791342565
2020-02-19,0.013131040470631516,0.006058278030550257,0.017666459408161028,0.0136390895889138,0.014229123000968347,0.0021280798159009073
2020-02-20,0.0037441603930721268,0.0021780674221445473,-0.01938232026303266,0.0,-0.045462640931585474,0.005308982781692784
2020-02-21,-0.014060197567394295,-0.022756312343622742,-0.009066302793309777,-0.012219127699822807,-0.02474422011264532,0.007604575606066755
2020-02-24,-0.04743891266475031,-0.051151275997230905,-0.02636372370038942,-0.02687573788453701,-0.0522700869797581,-0.027463340719877327
2020-02-25,-0.050412454677887686,-0.042740914467048974,-0.030863066193069333,-0.044642867451512136,-0.03321259089660278,-0.027376600010196595
2020-02-26,-0.014478789061907915,-0.0180037446997795,-0.008409548393556898,0.0030096407966788696,-0.016447993356406343,-0.02171984852472586
2020-02-27,-0.048971597815821055,-0.05470817454147825,-0.046760572782331034,-0.04161399769792784,-0.03873839470858553,-0.037834123063829384
2020-02-28,-0.021627160278641866,-0.015360712345177774,-0.023919481309485846,-0.04333856815685533,-0.008368224386525513,-0.03814463621423958
2020-03-02,0.030526345236259633,0.06508032324300017,0.04333315118345871,0.04659371289532599,0.032200772868022254,0.0345165214217904
2020-03-03,-0.05515835181963458,-0.037579426302008945,-0.028834718621870592,-0.03752466824030254,-0.044750388055992296,-0.04093704711187418
2020-03-04,0.02306304106841206,0.035972270993266164,0.02610240873304126,0.02470929730053406,0.018918921705403324,0.021465649464229353
